epoch,AUC,accuracy,loss,val_AUC,val_accuracy,val_loss
0,0.795961856842041,0.7684523463249207,1.3731207847595215,0.6834030151367188,0.6524125337600708,0.649800717830658
1,0.8074451684951782,0.7365502119064331,1.0664018392562866,0.8869994282722473,0.8401554822921753,0.4305212199687958
2,0.9537321329116821,0.9108684659004211,0.5023761987686157,0.9638668894767761,0.9083009362220764,0.23662136495113373
3,0.9784004092216492,0.9451146125793457,0.32354792952537537,0.9545901417732239,0.8977818489074707,0.2737372815608978
4,0.9868714809417725,0.9583786129951477,0.2366447001695633,0.9662013649940491,0.9103590250015259,0.24309402704238892
5,0.9918990135192871,0.9701560735702515,0.18100568652153015,0.9681496024131775,0.9144752025604248,0.2431100457906723
6,0.993827760219574,0.9779314994812012,0.13643911480903625,0.9747240543365479,0.9247655868530273,0.22990737855434418
7,0.9958218336105347,0.9825624823570251,0.1060570552945137,0.9734590649604797,0.9243082404136658,0.242555633187294
8,0.9974485039710999,0.9884511828422546,0.07642313838005066,0.9671672582626343,0.9190487265586853,0.2978202700614929
9,0.9982632994651794,0.990452229976654,0.0605928860604763,0.9655677080154419,0.9222501516342163,0.30996549129486084
10,0.9987263083457947,0.9945686459541321,0.048281051218509674,0.9671869874000549,0.9254516363143921,0.29673081636428833
